"id","title","lat","lng"
530152,"Centre_Point",51.5159,-0.129694
530295,"London_Stock_Exchange",51.515,-0.099
530414,"Reform_Club",51.5067,-0.133333
530480,"South_Bank",51.5042,-0.116667
530548,"Roman_London",51.5125,-0.0906
530568,"Lincoln's_Inn",51.5171,-0.114578
530569,"Inner_Temple",51.5125,-0.109
530570,"Gray's_Inn",51.5197,-0.112886
530612,"Barbican_Estate",51.5192,-0.0938889
530625,"Royal_Parks_of_London",51.5081,-0.1654
530628,"Nelson's_Column",51.5077,-0.127972
530661,"Aldwych_tube_station",51.5121,-0.11595
530687,"Marlborough_House",51.505,-0.135833
530706,"Fleet_Street",51.5142,-0.108889
530865,"Royal_Academy_of_Music",51.5236,-0.151944
531015,"10_Downing_Street",51.5034,-0.12764
531067,"Old_Bailey",51.5158,-0.101944
531073,"Apsley_House",51.5034,-0.1517
531074,"Piccadilly",51.507,-0.14235
531076,"Green_Park",51.5042,-0.143611
531077,"Piccadilly_Circus",51.51,-0.134444
531078,"Regent_Street",51.5108,-0.1387
531079,"Oxford_Circus",51.5153,-0.142
531080,"Oxford_Street",51.5136,-0.155556
531129,"Chelsea_Flower_Show",51.4864,-0.157778
531200,"Admiralty_Arch",51.5068,-0.128692
531203,"City_Road",51.53,-0.0991667
531368,"City_of_London_School_for_Girls",51.5192,-0.09449
531460,"Hampstead_Heath",51.5631,-0.168333
531644,"Poetry_Bookshop",51.5208,-0.121389
531698,"Electric_Ballroom",51.5397,-0.143056
532627,"Harrods",51.4997,-0.163611
532738,"Serpentine_(lake)",51.5053,-0.169444
532747,"War_Office",51.5056,-0.125833
532819,"Royal_Opera_House",51.5129,-0.122767
532907,"The_Rose_(theatre)",51.5072,-0.09547
533180,"Arsenal_Stadium",51.5578,-0.102778
533209,"River_Effra",51.4872,-0.1257
533757,"Burning_of_Parliament",51.4993,-0.12475
533841,"Lambeth_Palace",51.4956,-0.119722
533891,"Palace_of_Whitehall",51.5044,-0.125556
533912,"Sir_John_Soane's_Museum",51.5171,-0.116914
533913,"British_Transport_Police",51.5408,-0.1398
534178,"Royal_Institution",51.5098,-0.1425
534264,"A2_road_(Great_Britain)",51.5012,-0.0931
534265,"A4_road_(England)",51.5176,-0.1077
534321,"British_Museum_tube_station",51.5175,-0.122778
534337,"A23_road",51.498,-0.112
534374,"St_Benet_Paul's_Wharf",51.5117,-0.0992722
534383,"Vauxhall_Bridge",51.4875,-0.126944
534531,"Barnard's_Inn",51.5177,-0.1098
556412,"West_End_theatre",51.5114,-0.128056
37085,"St_James's_Palace",51.5047,-0.1375
37097,"Lambeth_Bridge",51.4944,-0.123056
37217,"Marble_Arch",51.5131,-0.158889
37277,"Foyles",51.5147,-0.1301
37292,"City_Road_tube_station",51.5297,-0.0975
37294,"Borough_Market",51.5049,-0.0910889
37296,"Metropolitan_Borough_of_Southwark",51.4908,-0.097
37389,"OXO_Tower",51.5083,-0.108547
37410,"Westminster_Abbey_Choir_School",51.4986,-0.12934
37446,"Cannon_Street_Railway_Bridge",51.5083,-0.0919444
37447,"Southwark_Bridge",51.5089,-0.0944444
37448,"Portcullis_House",51.5013,-0.124908
37449,"Waterloo_Bridge",51.5086,-0.116944
37451,"Westminster_Bridge",51.5008,-0.121944
37639,"Chelsea_Physic_Garden",51.485,-0.162778
37701,"St_Bride's_Church",51.5139,-0.105833
37727,"Snow_Hill_Tunnel",51.5131,-0.103611
37785,"The_Swan_(theatre)",51.5069,-0.103056
37830,"Slimelight",51.5325,-0.105278
37857,"Inner_London",51.5084,-0.125364
37886,"Victoria_Embankment",51.5072,-0.121667
37889,"Harley_Street",51.5206,-0.1477
37897,"Metropolitan_Borough_of_Westminster",51.499,-0.138
37900,"Metropolitan_Borough_of_St_Marylebone",51.5213,-0.1601
37901,"Metropolitan_Borough_of_St_Pancras",51.5333,-0.133333
37902,"Metropolitan_Borough_of_Holborn",51.5171,-0.1228
37903,"Metropolitan_Borough_of_Hampstead",51.5508,-0.1659
37904,"Hungerford_Bridge_and_Golden_Jubilee_Bridges",51.5061,-0.12
37905,"Blackfriars_Railway_Bridge",51.5097,-0.103333
37919,"Metropolitan_Borough_of_Finsbury",51.5268,-0.108
37922,"Metropolitan_Borough_of_Islington",51.5416,-0.1022
37932,"Museum_of_London",51.5177,-0.0968083
37935,"Ludgate",51.5142,-0.104444
37936,"Ludgate_Hill",51.5137,-0.101
37937,"London_Mithraeum",51.5131,-0.0902778
37950,"Metropolitan_Borough_of_Chelsea",51.4874,-0.1682
37964,"Aldwych",51.5132,-0.117639
37980,"Westminster_Millennium_Pier",51.5019,-0.123223
37982,"St_Thomas'_Hospital",51.4991,-0.11891
37983,"Parliament_Hill_School",51.5583,-0.1496
37984,"Speakers'_Corner",51.5117,-0.159778
37988,"Grosvenor_Bridge",51.4847,-0.1475
38005,"Metropolitan_Tabernacle",51.4942,-0.101111
38006,"Royal_Courts_of_Justice",51.5136,-0.113333
38012,"Newgate",51.5147,-0.100339
38027,"Cheapside",51.5141,-0.0937
38049,"HM_Prison_Pentonville",51.5456,-0.115172
38051,"St_Mary-le-Bow",51.5139,-0.0936111
38057,"College_of_Arms",51.5121,-0.0988056
38067,"Central_Saint_Martins",51.5356,-0.125
38083,"Royal_College_of_Physicians",51.5258,-0.144969
38084,"London_South_Bank_University",51.4981,-0.10154
38229,"Jubilee_Line_Extension",51.509,-0.141
38233,"The_Oval",51.4837,-0.114981
38384,"Hyde_Park_Corner",51.5028,-0.15125
38386,"St._James's_Park",51.5017,-0.131944
38389,"Clarence_House",51.504,-0.1385
38393,"Thames_Embankment",51.4965,-0.12455
38395,"Garden_at_Buckingham_Palace",51.501,-0.146
38396,"Royal_Mews",51.4986,-0.144444
38419,"St_Mary_le_Strand",51.5122,-0.116904
38420,"St_Martin-in-the-Fields",51.5089,-0.126944
38433,"Royal_Festival_Hall",51.5058,-0.116789
38684,"HM_Prison_Holloway",51.554,-0.125308
38702,"Fleet_Prison",51.5161,-0.105
38709,"St_Clement_Danes",51.5131,-0.113898
38814,"Metro_Central_Heights",51.4958,-0.09924
38828,"Lansdowne_House",51.5083,-0.145556
38840,"Hatton_Garden",51.5201,-0.108408
38987,"Royal_College_of_Surgeons_of_England",51.5153,-0.115833
39066,"Cannon_Street",51.5119,-0.0919444
39068,"Holborn_Viaduct",51.5172,-0.105069
39112,"Down_Street_tube_station",51.5044,-0.1475
39148,"King's_Road",51.4874,-0.168874
39256,"No_1_Poultry",51.5133,-0.0908333
39304,"Camden_High_Street",51.5364,-0.140556
39305,"Moorfields_Eye_Hospital_NHS_Foundation_Trust",51.5272,-0.09
39307,"Gresham_College",51.5177,-0.1098
